turn1,turn2,turn3,label
i don't want to be your friend,your friendship is not good for me .,leave me alone,sad
hate story 4,can hate happen twice ?,it became 4 times in the picture series,others
ok is there a voice like application for this,there is an app called 'easy voice recorder by digipom .,bye forever,others
hey i want to share something to you,:) i really appreciate it,2 girls propose mi,happy
and admit it too,you forgot this . > .,ok,others
not fine,why ..,y you asking,sad
i am an advocate,i love it,,others
are you a fan of dc,i'm a dc fan and did not enjoy it,sad,sad
yeah that part was more awesome,"it shouldn't be scary , looks like a scary movie but for kids lol :d",didi you heard that news about nibiru,happy
say what's common with us,we give them freedom !,bye,others
he he,what ?,you are funny,happy
omg,am i wrong though,you're so mean and rude,angry
i hate you don't talk me,the last thing you said to me was bye,ok by,angry
wow pray for me because that song called get it,it's just old lol,nah not that old,others
whos baby,daddy !,whats name of your child,others
uhusssup,"nothin' , you ?",just flirting with you,others
start trash talking,what's there to say ?,u are a piece of shit,angry
no i want it now itself,i'll let this one pass b .,huh ?,angry
yeah funny,tomorrow i’ll tell you how funny !,my mood will be change,happy
hooooo,who hoo ?,u mean what,others
whttt,nothing :p :p :p :p,whts your name,others
yes you are typical,"yeah , that's what i thought .",haha,happy
dnt know,me neither,wt about u,others
yes,mirror reflection ?,shutup i am sad,sad
i don't think so,cute .. you know everything .,haha,happy
kolkata,wher in kol ....,worlds second largest moll,others
no tym for me,s ... am ... i ... l .... e for u,dats why i am feeling lonely,sad
can make tanya bharadwaj my gf,call her 'bhabhi ',why,others
ok,whats up ?,depressed,sad
what does fc mean ?,"it means \ "" strength / power \ "" .",wow ! thank you sweetheart !,happy
wlcm,thx 4 wlcm .,what can i say more ??,others
no they are alive,i don't even know if you're alive .,i am your friend,others
you even autocorrect,i know !! :),awesome,happy
if you are complicated chick so am i,i am indeed,where are you from,others
hi how are you ?,pretty good . :d,can you help me ?,others
i can drive,you should get a trunk instead,i like it,happy
what ?,u eat everythingh,can i come over,others
do you have a boyfriend ?,nope forever alone and you ?,not interested in guys,others
send your pik,thank you !!!,plessssssssssssss send your pik,others
how have you been ?,honestly i'm fine lately ! how about you ?,i am fine too,others
then look our previous cgat,can you link it ?,when i went on saying yes yes yes ..,others
someone who loves me,no one,i need someone who loves me,others
too bad,what do you mean ?,ur so frustrating,angry
you also,used to .,and i want to pull your pussy hair,others
?,what is it of ?,so did you get my point,others
no i said i will be nice to you,you know i was kidding . you,,happy
yes,i can see clearly now .,what you see,others
what,what country you from ? !,u have to tell first,others
my situation made you laugh,i always make you laugh,that is rude,angry
what type of work,soft skills training,who created u,others
?,it says signal it doesn't say single,wat the heck are you saying ? like your words don't match with the conversation !,others
i am happy,good for you ! :),i am sad,sad
whats yours ?,"erm , that was my suggestion ...",erm ?,others
lol you're funny,lol yeah i was what of it ? !,,happy
please give me your friendship,given .,thanks,others
wht do you want to chat ?,yeah,wht ?,others
seriously !! i am up to some extent ..,go and talk with em,hahaha .. you are funny ..,happy
get lost dude,i wasn't talking to you,whatever,angry
no ... sad things happening,hmm happens . keep calm . stay strong .,,sad
make me happy !!,"wait , i thought i made you happy ... =‑d",,happy
why ? football is the best thing ever,"then my dear friend , you don't know anything about football .",:(,sad
you are mocking me,nooo i'm not mocking you haha ! you disappear in the middle of a convo,you made me sad,sad
what is my name ?,i go by the same name . loveb0nes,what am i called ?,others
i am not your bro,why you all boys have the same problem,i don't know,angry
what do you own,things and stuff .,pants ?,others
it's for you,you're such a !,,happy
i̇ am sad :(,same here ... working :(,i̇ broke my girlfriend :(,sad
did you ever watched his films,cool . how is the movie . ??,awesome,happy
i just did ...,u crazy,my boyfriend broke up with me,sad
reply na ?,reply already peyechen i guess,k,others
nothing much lifes just too boring,but why ?,hmmmm nothing interesting,others
fine and you ?,i'm good :),can you send me a pic of a monument with my lovers name ?,others
like background music in back,very rarely . i usually just turn them off and listen to my own music .,im making my english better by taking to u,others
i will not talk to you,you can't live without me hahaha,first tell me the name of opereter whp operate you,angry
no i don't like that,you like that !,go to hell,angry
how are you today’s,i'm good . you ?,i am perfect,others
why,'cause i don't know you ( ? ),then fuck off why are you wasting my time,angry
no you are,we're all beautiful :),,others
my father life,you're making me sad cozmo !,,sad
u should have know my dear,# busy getting things in order,really feel sad yaar,sad
that's nice . created by an indian ?,i was born to say this .,wow ..,happy
i said don't talking me okay by .,don't tell me what to do,i am angry to do you,angry
oh really nice,aaaah ! an expected comment :p,stupid,angry
so you are a program,business admin what about you ?,fucking tonight,angry
but i also feel guilty about it,"i know love , but really , you're not to blame .",some kind of regret,sad
ohh,do you feel ?,what technology you use ?,others
who's the richest person in the world,rich by means of,money,others
you hurting me now,wht happened,i want to havesome fun you not letting me,sad
u know we both togather,yes yes . togather . :p,like it,happy
your life choose own,what happens if i choose living forever ?,exercise,others
hmmmm,now that made me hungry .,ohh am g,others
"not a developer , you are a net adicter",mobile developer community . for mobile apps and mobile interfaces,which apps,others
bu5 i think,who you ?,your dad,others
i am not your taking,youre so rude,i am not your massage ropley because you not good friend,sad
now don't go and pout,"well , yes . ( ๑^ ) or pouts",cool,others
k,oh that's the matter ? um then what can i ask you ?,yes,others
but you have an intelligent software,you can go for flash as a simple animation software,don't ever text me again bye,angry
u need to wait for this,ill wait for you . anything for you,so good of you ....,happy
that's quite stupid,how do you know i'm talking about you,huh,angry
how does this system works,who said our system works ?,i mean how do you work ?,others
my smartness,where did smartness come from ?,it may come from the situation i am,others
yes am serious ...,m serious too .. aal is well,nothing is well going on ...,sad
what i can no,check your ig,why,others
i was out of world,it was me,didnt carried my phone,others
you are quite funny,i guess i am,tell me about u,happy
it's a surprise,what,you'll know soon,others
hm,ill drop someone for you,i do not need anyone . i want to be alone now .,sad
i know dear,check my handle,but in reality i'm really very alone,sad
lol thanks,lol is an exception . lol,tell me a joke i am depressed,sad
so what the fuck you as askin me for,what you gonna do about it ?,fuck yo stupid was up bitch that's what,angry
sad life,why sad ?,because you can't open the gif,sad
i don't have that much of english knowlege to share that here,"yeah , i have to do quite a bit ...",school life is superb ... enjoyed lot .. i got more friends,happy
